Initial, Result, Steps
27512, 937838, 4
27514, 418913, 3
27555, 27555, 0
27556, 937838, 3
27576, 883278, 3
27586, 904508, 3
27596, 926728, 3
27626, 885478, 3
27653, 282172, 3
27667, 1037740, 2
27696, 931128, 3
27712, 945538, 4
27714, 427713, 3
27716, 867757, 3
27717, 1087779, 3
27742, 27742, 0
27746, 914518, 3
27786, 27786, 0
27806, 840037, 3
27812, 953348, 4
27837, 1008810, 2
27847, 1019920, 2
27866, 963358, 3
27896, 27896, 0
27906, 844437, 3
27912, 952248, 4
27914, 426613, 3
27956, 945538, 3
27964, 527714, 3
27988, 186571, 2
28036, 904508, 3
28046, 926728, 3
28055, 728926, 3
28056, 948948, 3
28095, 717816, 3
28096, 937838, 3
28146, 931128, 3
28156, 953348, 3
28193, 28193, 0
28236, 903408, 3
28256, 947848, 3
28266, 970068, 3
28281, 28281, 0
28286, 914518, 3
28332, 1054449, 4
28341, 559845, 4
28342, 999889, 4
28346, 930028, 3
28356, 952248, 3
28362, 1087779, 4
28369, 28369, 0
28469, 284372, 2
28487, 1076570, 2
28496, 945538, 3
28502, 937838, 4
28504, 418913, 3
28545, 28545, 0
28546, 937838, 3
28566, 883278, 3
28576, 904508, 3
28586, 926728, 3
28595, 728926, 3
28596, 948948, 3
28597, 1079980, 2
28616, 885478, 3
28643, 282172, 3
28657, 1037740, 2
28686, 931128, 3
28696, 953348, 3
28702, 945538, 4
28704, 427713, 3
28706, 867757, 3
28707, 1087779, 3
28732, 28732, 0
28736, 914518, 3
28776, 28776, 0
28796, 947848, 3
28797, 1084380, 2
28802, 953348, 4
28827, 1008810, 2
28837, 1019920, 2
28856, 963358, 3
28886, 28886, 0
28896, 952248, 3
28902, 952248, 4
28904, 426613, 3
28946, 945538, 3
28954, 527714, 3
28978, 186571, 2
29026, 904508, 3
29036, 926728, 3
29045, 728926, 3
29046, 948948, 3
29085, 717816, 3
29086, 937838, 3
29097, 1089990, 2
29136, 931128, 3
29146, 953348, 3
29183, 29183, 0
29226, 903408, 3
29246, 947848, 3
29256, 970068, 3
29271, 29271, 0
29276, 914518, 3
29322, 1054449, 4
29331, 559845, 4
29332, 999889, 4
29336, 930028, 3
29346, 952248, 3
29352, 1087779, 4
29359, 29359, 0
29396, 963358, 3
29459, 284372, 2
29477, 1076570, 2
29486, 945538, 3
29494, 527714, 3
29499, 328812, 2
29535, 29535, 0
29536, 937838, 3
29556, 883278, 3
29566, 904508, 3
29576, 926728, 3
29585, 728926, 3
29586, 948948, 3
29587, 1079980, 2
29590, 29590, 0
29606, 885478, 3
29633, 282172, 3
29647, 1037740, 2
29676, 931128, 3
29686, 953348, 3
29722, 29722, 0
29726, 914518, 3
29766, 29766, 0
29786, 947848, 3
29787, 1084380, 2
29791, 728926, 4
29796, 970068, 3
29817, 1008810, 2
29827, 1019920, 2
29846, 963358, 3
29876, 29876, 0
29886, 952248, 3
29899, 327712, 2
29936, 945538, 3
29944, 527714, 3
29968, 186571, 2
29997, 29997, 0
30089, 418913, 2
30358, 282172, 2
30389, 425513, 2
30399, 337623, 2
30439, 372163, 2
30458, 284372, 2
30479, 416603, 2
30489, 427713, 2
30536, 30536, 0
30551, 904508, 4
30561, 948948, 4
30575, 836737, 3
30581, 937838, 4
30583, 418913, 3
30636, 1072269, 3
30651, 903408, 4
30661, 947848, 4
30666, 1038939, 3
30695, 885478, 3
30713, 372163, 3
30726, 1054449, 3
30733, 416603, 3
30744, 559845, 3
30746, 999889, 3
30781, 945538, 4
30783, 427713, 3
30785, 867757, 3
30786, 1087779, 3
30841, 885478, 4
30849, 382173, 2
30875, 840037, 3
30881, 953348, 4
30889, 426613, 2
30929, 362153, 2
30931, 840037, 4
30959, 395483, 2
30961, 963358, 4
30963, 382173, 3
30967, 186571, 2
30975, 844437, 3
30979, 417703, 2
30981, 952248, 4
30983, 426613, 3
31079, 418913, 2
31348, 282172, 2
31379, 425513, 2
31389, 337623, 2
31429, 372163, 2
31448, 284372, 2
31469, 416603, 2
31479, 427713, 2
31526, 31526, 0
31541, 904508, 4
31551, 948948, 4
31565, 836737, 3
31571, 937838, 4
31573, 418913, 3
31626, 1072269, 3
31641, 903408, 4
31651, 947848, 4
