Integer, Steps, Result
1852,2,7777
1853,2,9779
1854,4,59895
1856,16,5233333325
1858,4,293392
1859,2,15851
1860,2,3993
1861,2,5995
1862,2,7997
1863,2,9999
1864,3,22022
1865,3,44044
1866,3,66066
1867,3,88088
1868,3,155551
1869,4,56265
1870,3,7337
1871,4,25652
1872,4,69696
1873,4,125521
1874,2,12221
1875,3,46464
1876,3,68486
1877,5,881188
1878,3,168861
1879,6,233332
1880,3,7777
1881,0,1881
1882,17,5233333325
1883,5,293392
1884,3,26862
1885,3,48884
1886,5,449944
1887,13,8836886388
1888,18,89540004598
1889,6,229922
1890,5,69696
1891,3,12221
1892,4,68486
1893,4,168861
1894,13,52788725
1895,4,91619
1896,6,993399
1897,16,133697796331
1898,7,2322232
1899,4,79497
1900,1,1991
1901,1,2992
1902,1,3993
1903,1,4994
1904,1,5995
1905,1,6996
1906,1,7997
1907,1,8998
1908,1,9999
1909,2,11011
1910,2,3113
1911,2,5115
1912,2,7117
1913,2,9119
1914,3,23232
1915,3,45254
1916,3,67276
1917,3,89298
1918,3,112211
1919,2,12221
1920,2,3333
1921,2,5335
1922,2,7337
1923,2,9339
1924,3,25652
