Initial, Result, Steps
1391, 3322, 1
1392, 4323, 1
1393, 5324, 1
1394, 6325, 1
1395, 7326, 1
1396, 8327, 1
1397, 1397, 0
1398, 10329, 1
1399, 11330, 1
1400, 1441, 1
1401, 2442, 1
1402, 3443, 1
1403, 4444, 1
1404, 5445, 1
1405, 6446, 1
1406, 7447, 1
1407, 8448, 1
1408, 1408, 0
1409, 10450, 1
1410, 1551, 1
1411, 2552, 1
1412, 3553, 1
1413, 4554, 1
1414, 5555, 1
1415, 6556, 1
1416, 7557, 1
1417, 8558, 1
1418, 9559, 1
1419, 1419, 0
1420, 1661, 1
1421, 2662, 1
1422, 3663, 1
1423, 4664, 1
1424, 5665, 1
1425, 6666, 1
1426, 7667, 1
1427, 8668, 1
1428, 9669, 1
1429, 10670, 1
1430, 1430, 0
1431, 2772, 1
1432, 3773, 1
1433, 4774, 1
1434, 5775, 1
1435, 6776, 1
1436, 7777, 1
1437, 8778, 1
1438, 9779, 1
1439, 10780, 1
1440, 1881, 1
1441, 1441, 0
1442, 3883, 1
1443, 4884, 1
1444, 5885, 1
1445, 6886, 1
1446, 7887, 1
1447, 8888, 1
1448, 9889, 1
1449, 10890, 1
1450, 1991, 1
1451, 2992, 1
1452, 1452, 0
1453, 4994, 1
1454, 5995, 1
1455, 6996, 1
1456, 7997, 1
1457, 8998, 1
1458, 9999, 1
1459, 11000, 1
1460, 2101, 1
1461, 3102, 1
1462, 4103, 1
1463, 1463, 0
1464, 6105, 1
1465, 7106, 1
1466, 8107, 1
1467, 9108, 1
1468, 10109, 1
1469, 11110, 1
1470, 2211, 1
1471, 3212, 1
1472, 4213, 1
1473, 5214, 1
1474, 1474, 0
1475, 7216, 1
1476, 8217, 1
1477, 9218, 1
1478, 10219, 1
1479, 11220, 1
1480, 2321, 1
1481, 3322, 1
1482, 4323, 1
1483, 5324, 1
1484, 6325, 1
1485, 1485, 0
1486, 8327, 1
1487, 9328, 1
1488, 10329, 1
1489, 11330, 1
1490, 2431, 1
1491, 3432, 1
1492, 4433, 1
1493, 5434, 1
1494, 6435, 1
1495, 7436, 1
1496, 1496, 0
1497, 9438, 1
1498, 10439, 1
1499, 11440, 1
1500, 1551, 1
1501, 2552, 1
1502, 3553, 1
1503, 4554, 1
1504, 5555, 1
1505, 6556, 1
1506, 7557, 1
1507, 1507, 0
1508, 9559, 1
1509, 10560, 1
1510, 1661, 1
1511, 2662, 1
1512, 3663, 1
